raw_name,nose,palate,finish,page_number,source_file,source_type,source_confidence,raw_note,best_match,match_score,review_reason,db_age,db_abv,record_id
"the Octomore, the most heavily peated whisky ever.’",Clean and fresh,Refreshing exotic fruits,Salt and spice,15,The_Malt_List.pdf,historical_bar_menu,medium,"the Octomore, the most heavily peated whisky ever.’",Mackmyra The Swedish Whisky (Brukswhisky),55,No close match found,,,
SPEYSIDE             £14,,,,15,The_Malt_List.pdf,historical_bar_menu,medium,SPEYSIDE             £14,Speyside 10yo,83,Fuzzy match threshold,10.0,nan,WDB-00681
Benromach 10 year old,,,,15,The_Malt_List.pdf,historical_bar_menu,medium,Benromach 10 year old,Benromach 10yo,69,No close match found,,,
"'Located just outside Forres, Benromach is owned by Gordon and MacPhail and was",,,,15,The_Malt_List.pdf,historical_bar_menu,medium,"'Located just outside Forres, Benromach is owned by Gordon and MacPhail and was",BenRiach 17yo Solstice 2nd Peated Port Finish,46,No close match found,,,
only reopened in 1998. The distillery appears to be in good hands now.’,smoky,spicy and fruity,warm spice,15,The_Malt_List.pdf,historical_bar_menu,medium,only reopened in 1998. The distillery appears to be in good hands now.’,Last Mountain Distillery Single Cask 100% Wheat Whisky,50,No close match found,,,
Glenfarclas 10 year old,,,,15,The_Malt_List.pdf,historical_bar_menu,medium,Glenfarclas 10 year old,Glenfarclas 105,74,No close match found,,,
'One of the last independently owned and family run distilleries producing whisky,,,,15,The_Malt_List.pdf,historical_bar_menu,medium,'One of the last independently owned and family run distilleries producing whisky,Last Mountain Distillery Single Cask Rye Whisky,54,No close match found,,,
every bit as good as its more famous counterparts',"sherry, little smoke",crisp and dry,long,15,The_Malt_List.pdf,historical_bar_menu,medium,every bit as good as its more famous counterparts',"Forty Creek Confederation Oak (Batch A, B)",50,No close match found,,,
'Located not far from Aviemore just off the A9 and was once the biggest malt whisky,sweet,Toffee some fruit,sweet and light,15,The_Malt_List.pdf,historical_bar_menu,medium,'Located not far from Aviemore just off the A9 and was once the biggest malt whisky,"Three Boys Farm Distillery / Whiskey Thief Distilling Company, Inc.",47,No close match found,,,
LOWLAND             £14,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,LOWLAND             £14,Oban 14yo,63,No close match found,,,
'The Edinburgh malt and the closest distillery to the Canny Man's. It traces its origins,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,'The Edinburgh malt and the closest distillery to the Canny Man's. It traces its origins,"Three Boys Farm Distillery / Whiskey Thief Distilling Company, Inc.",51,No close match found,,,
back to the early 19th century and is well worth a visit.’,"grassy, some oak","sweet, apple",medium,16,The_Malt_List.pdf,historical_bar_menu,medium,back to the early 19th century and is well worth a visit.’,Game of Thrones The Night’s Watch Oban Bay Reserve,47,No close match found,,,
Auchentoshan 10 year old,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,Auchentoshan 10 year old,Auchentoshan 10yo,73,No close match found,,,
Light but certainly not bland.’,"vanilla, citrus",sweet,"long, soft",16,The_Malt_List.pdf,historical_bar_menu,medium,Light but certainly not bland.’,Black Button Distilling,54,No close match found,,,
Glengoyne 10 year old,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,Glengoyne 10 year old,Glengoyne 10yo,69,No close match found,,,
‘Glasgow’s other distillery only 12 miles from the city centre although technically a,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,‘Glasgow’s other distillery only 12 miles from the city centre although technically a,Jack Daniel's Master Distiller (all series),46,No close match found,,,
highland malt.. A very drinkable malt whisky.’,"fresh, some oak","fruity, grassy",clean,16,The_Malt_List.pdf,historical_bar_menu,medium,highland malt.. A very drinkable malt whisky.’,Swiss Highland Classic Single Malt,61,No close match found,,,
Or any 3 of the above for £14,,,,16,The_Malt_List.pdf,historical_bar_menu,medium,Or any 3 of the above for £14,The Oxford Artisan Distillery,49,No close match found,,,
£100,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,£100,ANNO 1940,33,No close match found,,,
(all cask strength),,,,17,The_Malt_List.pdf,historical_bar_menu,medium,(all cask strength),Amrut Cask Strength,83,Fuzzy match threshold,nan,nan,WDB-00714
North Port  20 Year Old,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,North Port  20 Year Old,Mortlach Rare Old,62,No close match found,,,
Distilled 1979,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Distilled 1979,Distillery 291,71,No close match found,,,
"Highland, Brechin",,,,17,The_Malt_List.pdf,historical_bar_menu,medium,"Highland, Brechin",Highland Park Einar,69,No close match found,,,
Founded in 1820 this distillery took its name from an old gate to its native cathedral,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Founded in 1820 this distillery took its name from an old gate to its native cathedral,Last Mountain Distillery Single Cask 100% Wheat Whisky,52,No close match found,,,
city of Brechin. The distillery closed its doors in 1983 when the downturn in demand,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,city of Brechin. The distillery closed its doors in 1983 when the downturn in demand,"Three Boys Farm Distillery / Whiskey Thief Distilling Company, Inc.",55,No close match found,,,
for malt whisky became too much for it to take. Becoming increasingly rare and,"dry, grassy","tropical fruit, toasty","brisk, dry",17,The_Malt_List.pdf,historical_bar_menu,medium,for malt whisky became too much for it to take. Becoming increasingly rare and,Mackinlay's Shackleton Rare Old Highland Malt Discovery edition,46,No close match found,,,
St Magdalene 19 Year Old,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,St Magdalene 19 Year Old,Macallan 18yo Sherry Oak,54,No close match found,,,
Distilled 1979,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Distilled 1979,Distillery 291,71,No close match found,,,
"Lowland, Linlithgow",,,,17,The_Malt_List.pdf,historical_bar_menu,medium,"Lowland, Linlithgow",Longrow Peated,50,No close match found,,,
Licensed in 1797 but possibly earlier in eastern Linlithgow West Lothian. In 1983 the,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Licensed in 1797 but possibly earlier in eastern Linlithgow West Lothian. In 1983 the,Parker’s Heritage 12th 2018 Finished in Orange Curaçao Barrels,44,No close match found,,,
distillery closed down. There are still bottlings being released but they are becoming,aromatic,"malty liquorice, big for a lowland",robust and peaty,17,The_Malt_List.pdf,historical_bar_menu,medium,distillery closed down. There are still bottlings being released but they are becoming,"Three Boys Farm Distillery / Whiskey Thief Distilling Company, Inc.",46,No close match found,,,
Hillside 25 Year Old,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Hillside 25 Year Old,Old Sugar Distillery,55,No close match found,,,
Distilled 1971,,,,17,The_Malt_List.pdf,historical_bar_menu,medium,Distilled 1971,Distillery 291,79,No close match found,,,
"Highland, Montrose",,,,17,The_Malt_List.pdf,historical_bar_menu,medium,"Highland, Montrose",Highland Park Svein,67,No close match found,,,
Founded in 1898 the distillery was renowned for its unusually large stills. Closed,woody,"pear, sweet fruit",dry toasted,17,The_Malt_List.pdf,historical_bar_menu,medium,Founded in 1898 the distillery was renowned for its unusually large stills. Closed,Last Mountain Distillery Single Cask 100% Wheat Whisky,51,No close match found,,,
