old_whisky_id,whisky_name,bottle_name,best_score,db_record_id,db_name
W000160,glenmorangie companta,Glenmorangie Companta,100,WDB-00160,Glenmorangie Companta
W000442,glenmorangie ealanta,Glenmorangie Ealanta,100,WDB-00442,Glenmorangie Ealanta
W000344,glenmorangie lasanta,Glenmorangie Lasanta,100,WDB-00344,Glenmorangie Lasanta
W000213,glenmorangie nectar d'or,Glenmorangie Nectar D'Or,100,WDB-00213,Glenmorangie Nectar d'Or
W000281,glenmorangie quinta ruban,Glenmorangie Quinta Ruban,100,WDB-00281,Glenmorangie Quinta Ruban
W000097,glenmorangie signet,Glenmorangie Signet,100,WDB-00097,Glenmorangie Signet
W000611,glenrothes vintage 1998 (2014),Glenrothes 1998,100,WDB-00611,Glenrothes Vintage 1998 (2014)
W000678,glenrothes select reserve,Glenrothes Select Reserve,100,WDB-00678,Glenrothes Select Reserve
W001345,grant's family reserve blended,Grant's Family Reserve,100,WDB-01345,Grant's Family Reserve Blended
W001384,high west midwinter night’s dram rye,High West A Midwinter Nights Dram,100,WDB-01384,High West Midwinter Night’s Dram Rye
W000327,highland park dark origins,Highland Park Dark Origins,100,WDB-00327,Highland Park Dark Origins
W001074,jura superstition,Jura Superstition,100,WDB-01074,Jura Superstition
W001363,j&b rare,J&B Rare,100,WDB-01363,J&B Rare
W001748,jim beam bonded,Jim Beam Bonded,100,WDB-01748,Jim Beam Bonded
W001809,jim beam devil's cut,Jim Beam Devil's Cut,100,WDB-01809,Jim Beam Devil's Cut
W001725,jim beam single barrel,Jim Beam Single Barrel,100,WDB-01725,Jim Beam Single Barrel
W001825,jim beam white label,Jim Beam White Label,100,WDB-01825,Jim Beam White Label
W001258,johnnie walker blue label,Johnnie Walker Blue Label,100,WDB-01258,Johnnie Walker Blue Label
W001287,johnnie walker double black,Johnnie Walker Double Black,100,WDB-01287,Johnnie Walker Double Black
W001276,johnnie walker platinum label,Johnnie Walker Platinum Label,100,WDB-01276,Johnnie Walker Platinum Label
W001359,johnnie walker red label,Johnnie Walker Red Label,100,WDB-01359,Johnnie Walker Red Label
W001213,jura prophecy,Jura Prophecy,100,WDB-01213,Jura Prophecy
W000460,kavalan solist ex-bourbon,Kavalan Solist Ex-Bourbon,100,WDB-00460,Kavalan Solist Ex-Bourbon
W000056,kavalan solist vinho barrique,Kavalan Solist Vinho Barrique,100,WDB-00056,Kavalan Solist Vinho Barrique
W001191,kilchoman 100% islay (all editions),Kilchoman 100% Islay 3rd Edition,100,WDB-01191,Kilchoman 100% Islay (all editions)
W000137,kilchoman loch gorm,Kilchoman Loch Gorm,100,WDB-00137,Kilchoman Loch Gorm
W001181,kilchoman machir bay (all vintages),Kilchoman Machir Bay,100,WDB-01181,Kilchoman Machir Bay (all vintages)
W000087,kilchoman port cask matured,Kilchoman Port Cask Matured,100,WDB-00087,Kilchoman Port Cask Matured
W001166,laphroaig an cuan mor,Laphroaig An Cuan Mor,100,WDB-01166,Laphroaig An Cuan Mor
W001138,laphroaig quarter cask,Laphroaig Quarter Cask,100,WDB-01138,Laphroaig Quarter Cask
W001210,laphroaig triple wood,Laphroaig Triplewood,100,WDB-01210,Laphroaig Triple Wood
W001779,larceny small batch bourbon,Larceny Small Batch Bourbon,100,WDB-01779,Larceny Small Batch Bourbon
W001174,longrow cv,Longrow CV,100,WDB-01174,Longrow CV
W001187,longrow peated,Longrow Peated,100,WDB-01187,Longrow Peated
W000634,macallan amber,Macallan Amber,100,WDB-00634,Macallan Amber
W000386,macallan select oak,Macallan Select Oak,100,WDB-00386,Macallan Select Oak
W000225,macallan sienna,Macallan Sienna,100,WDB-00225,Macallan Sienna
W000743,mackmyra the first edition (den första utgåvan),Mackmyra First Edition,100,WDB-00743,Mackmyra The First Edition (Den Första Utgåvan)
W000904,mcclelland's highland single malt,McClelland Highland,100,WDB-00904,McClelland's Highland Single Malt
W001227,mcclelland's islay single malt,McClelland Islay,100,WDB-01227,McClelland's Islay Single Malt
W000024,monkey shoulder,Monkey Shoulder,100,WDB-00024,Monkey Shoulder
W001279,nikka coffey grain,Nikka Coffey Grain,100,WDB-01279,Nikka Coffey Grain
W000474,nikka from the barrel,Nikka From The Barrel,100,WDB-00474,Nikka From the Barrel
W001701,old weller antique 107,Old Weller Antique 107,100,WDB-01701,Old Weller Antique 107
W001468,rittenhouse rye 100 proof,Rittenhouse Rye 100,100,WDB-01468,Rittenhouse Rye 100 Proof
W001673,russell's reserve single barrel,Russell's Reserve Single Barrel,100,WDB-01673,Russell's Reserve Single Barrel
W001482,sazerac straight rye,Sazerac Rye,100,WDB-01482,Sazerac Straight Rye
W001075,springbank cv,Springbank CV,100,WDB-01075,Springbank CV
W000954,talisker 57 north,Talisker 57° North,100,WDB-00954,Talisker 57 North
W000303,talisker port ruighe,Talisker Port Ruighe,100,WDB-00303,Talisker Port Ruighe
W001275,té bheag,Té Bheag,100,WDB-01275,Té Bheag
W001337,teacher's highland cream,Teacher's Highland Cream,100,WDB-01337,Teacher's Highland Cream
W001574,templeton rye,Templeton Rye,100,WDB-01574,Templeton Rye
W001374,thomas h. handy sazerac,Thomas H. Handy,100,WDB-01374,Thomas H. Handy Sazerac
W000437,tomatin decades,Tomatin Decades,100,WDB-00437,Tomatin Decades
W001226,tomintoul peaty tang,Tomintoul Peaty Tang,100,WDB-01226,Tomintoul Peaty Tang
W000859,tyrconnell single malt irish whiskey,Tyrconnell Irish Single Malt,100,WDB-00859,Tyrconnell Single Malt Irish Whiskey
W001771,w.l. weller special reserve,W.L. Weller Special Reserve,100,WDB-01771,W.L. Weller Special Reserve
W001410,whistlepig the boss hog,Whistle Pig Boss Hog,100,WDB-01410,Whistlepig The Boss Hog
W001477,wild turkey 101 rye,Wild Turkey 101 Rye,100,WDB-01477,Wild Turkey 101 Rye
W001777,wild turkey forgiven,Wild Turkey Forgiven,100,WDB-01777,Wild Turkey Forgiven
W001695,wild turkey rare breed,Wild Turkey Rare Breed,100,WDB-01695,Wild Turkey Rare Breed
W001609,william larue weller,William Larue Weller,100,WDB-01609,William Larue Weller
W001395,j.p. wiser's legacy,Wiser's Legacy,100,WDB-01395,J.P. Wiser's Legacy
W001775,woodford reserve distiller's select,Woodford Reserve Distiller's Select,100,WDB-01775,Woodford Reserve Distiller's Select
W001714,woodford reserve double oaked,Woodford Reserve Double Oaked,100,WDB-01714,Woodford Reserve Double Oaked
