tasting_note_id,whisky_id,product_name,source_system,total_text_length,keyword_hit_count,axis_count,placeholder_pattern,low_signal,production_quality_decision,reason,short_snippet,block_reason
40,W000015,bowmore 12y,uploaded_document,67,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for bowmore 12y Good flavor for bowmore 12y Long finish.,
41,W000016,glenmorangie the original 10y,uploaded_document,103,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glenmorangie the original 10y Good flavor for glenmorangie the or...,
42,W000017,glen grant 10yo,uploaded_document,75,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glen grant 10yo Good flavor for glen grant 10yo Long finish.,
43,W000018,auchentoshan 12yo,uploaded_document,79,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for auchentoshan 12yo Good flavor for auchentoshan 12yo Long finish.,
44,W000019,auchentoshan american oak,uploaded_document,95,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for auchentoshan american oak Good flavor for auchentoshan american o...,
45,W000020,ardmore legacy,uploaded_document,73,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for ardmore legacy Good flavor for ardmore legacy Long finish.,
46,W000021,chivas extra 13,uploaded_document,75,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for chivas extra 13 Good flavor for chivas extra 13 Long finish.,
47,W000022,tamnavulin white wine cask,uploaded_document,97,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for tamnavulin white wine cask Good flavor for tamnavulin white wine ...,
48,W000023,tamnavulin double cask,uploaded_document,89,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for tamnavulin double cask Good flavor for tamnavulin double cask Lon...,
49,W000024,monkey shoulder,uploaded_document,75,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for monkey shoulder Good flavor for monkey shoulder Long finish.,
50,W000025,gladstone axe american oak,uploaded_document,97,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for gladstone axe american oak Good flavor for gladstone axe american...,
51,W000028,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",uploaded_document,167,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,"Nice aroma for laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts) Goo...",
52,W000030,amrut spectrum (batch 1),uploaded_document,93,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut spectrum (batch 1) Good flavor for amrut spectrum (batch 1)...,
53,W000031,glengoyne 25yo,uploaded_document,73,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for glengoyne 25yo Good flavor for glengoyne 25yo Long finish.,
54,W000036,kavalan solist oloroso sherry cask,uploaded_document,113,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for kavalan solist oloroso sherry cask Good flavor for kavalan solist...,
55,W000037,aberlour a'bunadh (batch 33),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 33) Good flavor for aberlour a'bunadh (b...,
56,W000038,aberlour a'bunadh (batch 37),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 37) Good flavor for aberlour a'bunadh (b...,
57,W000040,laphroaig 25yo,uploaded_document,73,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for laphroaig 25yo Good flavor for laphroaig 25yo Long finish.,
58,W000042,aberlour a'bunadh (batch 40),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 40) Good flavor for aberlour a'bunadh (b...,
59,W000043,yamazaki 18yo,uploaded_document,71,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for yamazaki 18yo Good flavor for yamazaki 18yo Long finish.,
60,W000044,aberlour a'bunadh (batch 49),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 49) Good flavor for aberlour a'bunadh (b...,
61,W000046,yamazaki sherry cask (all vintages),uploaded_document,115,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for yamazaki sherry cask (all vintages) Good flavor for yamazaki sher...,
62,W000047,aberlour a'bunadh (batch 56),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 56) Good flavor for aberlour a'bunadh (b...,
63,W000049,compass box last vatted malt,uploaded_document,101,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for compass box last vatted malt Good flavor for compass box last vat...,
64,W000050,amrut greedy angels (8yo and 10yo),uploaded_document,113,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut greedy angels (8yo and 10yo) Good flavor for amrut greedy a...,
65,W000052,amrut spectrum (all batches),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut spectrum (all batches) Good flavor for amrut spectrum (all ...,
66,W000053,bowmore springtide,uploaded_document,81,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for bowmore springtide Good flavor for bowmore springtide Long finish...,
67,W000056,kavalan solist vinho barrique,uploaded_document,103,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for kavalan solist vinho barrique Good flavor for kavalan solist vinh...,
68,W000057,aberlour a'bunadh (batch 53),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 53) Good flavor for aberlour a'bunadh (b...,
69,W000060,aberlour a'bunadh (batch 39),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 39) Good flavor for aberlour a'bunadh (b...,
70,W000062,karuizawa 1990 sherry butt,uploaded_document,97,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for karuizawa 1990 sherry butt Good flavor for karuizawa 1990 sherry ...,
71,W000063,kavalan solist px cask,uploaded_document,89,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for kavalan solist px cask Good flavor for kavalan solist px cask Lon...,
72,W000066,amrut spectrum 004 (batch 2),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut spectrum 004 (batch 2) Good flavor for amrut spectrum 004 (...,
73,W000068,kavalan solist manzanilla cask,uploaded_document,105,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for kavalan solist manzanilla cask Good flavor for kavalan solist man...,
74,W000069,aberlour a'bunadh (batch 44),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 44) Good flavor for aberlour a'bunadh (b...,
75,W000070,aberlour a'bunadh (batch 52),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 52) Good flavor for aberlour a'bunadh (b...,
76,W000071,kavalan solist amontillado cask,uploaded_document,107,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for kavalan solist amontillado cask Good flavor for kavalan solist am...,
77,W000072,aberlour a'bunadh (batch 35),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 35) Good flavor for aberlour a'bunadh (b...,
78,W000077,aberlour a'bunadh (batch 45),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 45) Good flavor for aberlour a'bunadh (b...,
79,W000080,laphroaig cairdeas 2013 port wood,uploaded_document,111,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for laphroaig cairdeas 2013 port wood Good flavor for laphroaig caird...,
80,W000085,amrut px sherry single cask 2696 (lcbo),uploaded_document,123,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut px sherry single cask 2696 (lcbo) Good flavor for amrut px ...,
81,W000088,aberlour a'bunadh (batch 36),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 36) Good flavor for aberlour a'bunadh (b...,
82,W000089,amrut portonova,uploaded_document,75,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for amrut portonova Good flavor for amrut portonova Long finish.,
83,W000090,bowmore 15yo laimrig,uploaded_document,85,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for bowmore 15yo laimrig Good flavor for bowmore 15yo laimrig Long fi...,
84,W000091,bushmills 21yo single malt,uploaded_document,97,2,1,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for bushmills 21yo single malt Good flavor for bushmills 21yo single ...,
85,W000093,aberlour a'bunadh (batch 30),uploaded_document,101,0,0,True,True,quarantine_recommended,Placeholder / Mock pattern detected,Nice aroma for aberlour a'bunadh (batch 30) Good flavor for aberlour a'bunadh (b...,
