staging_id,whisky_id,product_name,source_system,source_doc,source_entry_number,nose_notes,palate_notes,finish_notes,overall_summary,duplicate_in_tasting_notes,duplicate_in_staging,promotion_decision,block_reason,recommended_action
56,W000068,Kavalan Solist Manzanilla Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,48,Nice aroma for kavalan solist manzanilla cask,Good flavor for kavalan solist manzanilla cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
57,W000069,Aberlour A'Bunadh (Batch 44),uploaded_document,uploaded_whisky_tasting_notes.txt,49,Nice aroma for aberlour a'bunadh (batch 44),Good flavor for aberlour a'bunadh (batch 44),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
58,W000070,Aberlour A'Bunadh (Batch 52),uploaded_document,uploaded_whisky_tasting_notes.txt,50,Nice aroma for aberlour a'bunadh (batch 52),Good flavor for aberlour a'bunadh (batch 52),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
59,W000071,Kavalan Solist Amontillado Cask,uploaded_document,uploaded_whisky_tasting_notes.txt,51,Nice aroma for kavalan solist amontillado cask,Good flavor for kavalan solist amontillado cask,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
60,W000072,Aberlour A'Bunadh (Batch 35),uploaded_document,uploaded_whisky_tasting_notes.txt,52,Nice aroma for aberlour a'bunadh (batch 35),Good flavor for aberlour a'bunadh (batch 35),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
61,W000077,Aberlour A'Bunadh (Batch 45),uploaded_document,uploaded_whisky_tasting_notes.txt,53,Nice aroma for aberlour a'bunadh (batch 45),Good flavor for aberlour a'bunadh (batch 45),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
62,W000080,Laphroaig Cairdeas 2013 Port Wood,uploaded_document,uploaded_whisky_tasting_notes.txt,54,Nice aroma for laphroaig cairdeas 2013 port wood,Good flavor for laphroaig cairdeas 2013 port wood,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
63,W000085,Amrut Px Sherry Single Cask 2696 (Lcbo),uploaded_document,uploaded_whisky_tasting_notes.txt,55,Nice aroma for amrut px sherry single cask 2696 (lcbo),Good flavor for amrut px sherry single cask 2696 (lcbo),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
64,W000088,Aberlour A'Bunadh (Batch 36),uploaded_document,uploaded_whisky_tasting_notes.txt,56,Nice aroma for aberlour a'bunadh (batch 36),Good flavor for aberlour a'bunadh (batch 36),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
65,W000089,Amrut Portonova,uploaded_document,uploaded_whisky_tasting_notes.txt,57,Nice aroma for amrut portonova,Good flavor for amrut portonova,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
66,W000090,Bowmore 15Yo Laimrig,uploaded_document,uploaded_whisky_tasting_notes.txt,58,Nice aroma for bowmore 15yo laimrig,Good flavor for bowmore 15yo laimrig,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
67,W000091,Bushmills 21Yo Single Malt,uploaded_document,uploaded_whisky_tasting_notes.txt,59,Nice aroma for bushmills 21yo single malt,Good flavor for bushmills 21yo single malt,Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
68,W000093,Aberlour A'Bunadh (Batch 30),uploaded_document,uploaded_whisky_tasting_notes.txt,60,Nice aroma for aberlour a'bunadh (batch 30),Good flavor for aberlour a'bunadh (batch 30),Long finish.,Very good.,False,False,PASS,,promote_to_tasting_notes
