source_doc,source_entry_number,raw_whisky_name,normalized_whisky_name,abv,category_hint,country_or_region_hint,review_date,nose_notes,palate_notes,finish_notes,overall_summary
uploaded_whisky_tasting_notes.txt,24,Monkey Shoulder,monkey shoulder,40%,Scotch,,2022-01-01,Nice aroma for monkey shoulder,Good flavor for monkey shoulder,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,25,Gladstone Axe American Oak,gladstone axe american oak,40%,Scotch,,2022-01-01,Nice aroma for gladstone axe american oak,Good flavor for gladstone axe american oak,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,26,"Laphroaig 27Yo 57.4% 1980-2007 (Ob, 5 Oloroso Casks, 972 Bts)","laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",40%,Scotch,,2022-01-01,"Nice aroma for laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)","Good flavor for laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,27,Amrut Spectrum (Batch 1),amrut spectrum (batch 1),40%,Scotch,,2022-01-01,Nice aroma for amrut spectrum (batch 1),Good flavor for amrut spectrum (batch 1),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,28,Glengoyne 25Yo,glengoyne 25yo,40%,Scotch,,2022-01-01,Nice aroma for glengoyne 25yo,Good flavor for glengoyne 25yo,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,29,Kavalan Solist Oloroso Sherry Cask,kavalan solist oloroso sherry cask,40%,Scotch,,2022-01-01,Nice aroma for kavalan solist oloroso sherry cask,Good flavor for kavalan solist oloroso sherry cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,30,Aberlour A'Bunadh (Batch 33),aberlour a'bunadh (batch 33),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 33),Good flavor for aberlour a'bunadh (batch 33),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,31,Aberlour A'Bunadh (Batch 37),aberlour a'bunadh (batch 37),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 37),Good flavor for aberlour a'bunadh (batch 37),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,32,Laphroaig 25Yo,laphroaig 25yo,40%,Scotch,,2022-01-01,Nice aroma for laphroaig 25yo,Good flavor for laphroaig 25yo,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,33,Aberlour A'Bunadh (Batch 40),aberlour a'bunadh (batch 40),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 40),Good flavor for aberlour a'bunadh (batch 40),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,34,Yamazaki 18Yo,yamazaki 18yo,40%,Scotch,,2022-01-01,Nice aroma for yamazaki 18yo,Good flavor for yamazaki 18yo,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,35,Aberlour A'Bunadh (Batch 49),aberlour a'bunadh (batch 49),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 49),Good flavor for aberlour a'bunadh (batch 49),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,36,Yamazaki Sherry Cask (All Vintages),yamazaki sherry cask (all vintages),40%,Scotch,,2022-01-01,Nice aroma for yamazaki sherry cask (all vintages),Good flavor for yamazaki sherry cask (all vintages),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,37,Aberlour A'Bunadh (Batch 56),aberlour a'bunadh (batch 56),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 56),Good flavor for aberlour a'bunadh (batch 56),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,38,Compass Box Last Vatted Malt,compass box last vatted malt,40%,Scotch,,2022-01-01,Nice aroma for compass box last vatted malt,Good flavor for compass box last vatted malt,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,39,Amrut Greedy Angels (8Yo And 10Yo),amrut greedy angels (8yo and 10yo),40%,Scotch,,2022-01-01,Nice aroma for amrut greedy angels (8yo and 10yo),Good flavor for amrut greedy angels (8yo and 10yo),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,40,Amrut Spectrum (All Batches),amrut spectrum (all batches),40%,Scotch,,2022-01-01,Nice aroma for amrut spectrum (all batches),Good flavor for amrut spectrum (all batches),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,41,Bowmore Springtide,bowmore springtide,40%,Scotch,,2022-01-01,Nice aroma for bowmore springtide,Good flavor for bowmore springtide,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,42,Kavalan Solist Vinho Barrique,kavalan solist vinho barrique,40%,Scotch,,2022-01-01,Nice aroma for kavalan solist vinho barrique,Good flavor for kavalan solist vinho barrique,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,43,Aberlour A'Bunadh (Batch 53),aberlour a'bunadh (batch 53),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 53),Good flavor for aberlour a'bunadh (batch 53),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,44,Aberlour A'Bunadh (Batch 39),aberlour a'bunadh (batch 39),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 39),Good flavor for aberlour a'bunadh (batch 39),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,45,Karuizawa 1990 Sherry Butt,karuizawa 1990 sherry butt,40%,Scotch,,2022-01-01,Nice aroma for karuizawa 1990 sherry butt,Good flavor for karuizawa 1990 sherry butt,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,46,Kavalan Solist Px Cask,kavalan solist px cask,40%,Scotch,,2022-01-01,Nice aroma for kavalan solist px cask,Good flavor for kavalan solist px cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,47,Amrut Spectrum 004 (Batch 2),amrut spectrum 004 (batch 2),40%,Scotch,,2022-01-01,Nice aroma for amrut spectrum 004 (batch 2),Good flavor for amrut spectrum 004 (batch 2),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,48,Kavalan Solist Manzanilla Cask,kavalan solist manzanilla cask,40%,Scotch,,2022-01-01,Nice aroma for kavalan solist manzanilla cask,Good flavor for kavalan solist manzanilla cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,49,Aberlour A'Bunadh (Batch 44),aberlour a'bunadh (batch 44),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 44),Good flavor for aberlour a'bunadh (batch 44),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,50,Aberlour A'Bunadh (Batch 52),aberlour a'bunadh (batch 52),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 52),Good flavor for aberlour a'bunadh (batch 52),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,51,Kavalan Solist Amontillado Cask,kavalan solist amontillado cask,40%,Scotch,,2022-01-01,Nice aroma for kavalan solist amontillado cask,Good flavor for kavalan solist amontillado cask,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,52,Aberlour A'Bunadh (Batch 35),aberlour a'bunadh (batch 35),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 35),Good flavor for aberlour a'bunadh (batch 35),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,53,Aberlour A'Bunadh (Batch 45),aberlour a'bunadh (batch 45),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 45),Good flavor for aberlour a'bunadh (batch 45),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,54,Laphroaig Cairdeas 2013 Port Wood,laphroaig cairdeas 2013 port wood,40%,Scotch,,2022-01-01,Nice aroma for laphroaig cairdeas 2013 port wood,Good flavor for laphroaig cairdeas 2013 port wood,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,55,Amrut Px Sherry Single Cask 2696 (Lcbo),amrut px sherry single cask 2696 (lcbo),40%,Scotch,,2022-01-01,Nice aroma for amrut px sherry single cask 2696 (lcbo),Good flavor for amrut px sherry single cask 2696 (lcbo),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,56,Aberlour A'Bunadh (Batch 36),aberlour a'bunadh (batch 36),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 36),Good flavor for aberlour a'bunadh (batch 36),Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,57,Amrut Portonova,amrut portonova,40%,Scotch,,2022-01-01,Nice aroma for amrut portonova,Good flavor for amrut portonova,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,58,Bowmore 15Yo Laimrig,bowmore 15yo laimrig,40%,Scotch,,2022-01-01,Nice aroma for bowmore 15yo laimrig,Good flavor for bowmore 15yo laimrig,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,59,Bushmills 21Yo Single Malt,bushmills 21yo single malt,40%,Scotch,,2022-01-01,Nice aroma for bushmills 21yo single malt,Good flavor for bushmills 21yo single malt,Long finish.,Very good.
uploaded_whisky_tasting_notes.txt,60,Aberlour A'Bunadh (Batch 30),aberlour a'bunadh (batch 30),40%,Scotch,,2022-01-01,Nice aroma for aberlour a'bunadh (batch 30),Good flavor for aberlour a'bunadh (batch 30),Long finish.,Very good.
