whisky_id,whisky_name,distillery_name,age,query,source_name,source_url,source_domain,source_type,source_confidence,match_score,match_status,mismatch_flags,recommended_action,production_ready
W000696,mackinlay's shackleton rare old highland malt discovery edition,,,mackinlay's shackleton rare old highland malt discovery edition tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-discovery-edition-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W001792,parker’s heritage 12th 2018 finished in orange curaçao barrels,,,parker’s heritage 12th 2018 finished in orange curaçao barrels tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/parker’s-heritage-12th-2018-finished-in-orange-curaçao-barrels-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000028,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts)",Laphroaig,27.0,"laphroaig 27yo 57.4% 1980-2007 (ob, 5 oloroso casks, 972 bts) tasting notes review",whiskynotes.be,"https://www.whiskynotes.be/search/laphroaig-27yo-57.4%-1980-2007-(ob,-5-oloroso-casks,-972-bts)-tasting-notes-review",whiskynotes.be,review_site,85,105,strict_match,,import_to_staging,true
W000930,compass box flaming heart 2015 5th edition - 15th anniversary,,,compass box flaming heart 2015 5th edition - 15th anniversary tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/compass-box-flaming-heart-2015-5th-edition---15th-anniversary-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000948,compass box flaming heart 2010 3rd edition - 10th anniversary,,,compass box flaming heart 2010 3rd edition - 10th anniversary tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/compass-box-flaming-heart-2010-3rd-edition---10th-anniversary-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000750,mackinlay's shackleton rare old highland malt journey edition,,,mackinlay's shackleton rare old highland malt journey edition tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/mackinlay's-shackleton-rare-old-highland-malt-journey-edition-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000294,"glenfarclas 1968-2000 54.2% (ob, old stock reserve, ceramic)",,,"glenfarclas 1968-2000 54.2% (ob, old stock reserve, ceramic) tasting notes review",whiskynotes.be,"https://www.whiskynotes.be/search/glenfarclas-1968-2000-54.2%-(ob,-old-stock-reserve,-ceramic)-tasting-notes-review",whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000853,shelter point classic single cask (kwm) single malt whisky,,,shelter point classic single cask (kwm) single malt whisky tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/shelter-point-classic-single-cask-(kwm)-single-malt-whisky-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000026,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli)",,10.0,"macallan 10yo full proof 57% 1980 (ob, giovinetti & figli) tasting notes review",whiskynotes.be,"https://www.whiskynotes.be/search/macallan-10yo-full-proof-57%-1980-(ob,-giovinetti-&-figli)-tasting-notes-review",whiskynotes.be,review_site,85,95,strict_match,,import_to_staging,true
W001453,pike creek 21yo double barrel speyside cask finish (2017),,21.0,pike creek 21yo double barrel speyside cask finish (2017) tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/pike-creek-21yo-double-barrel-speyside-cask-finish-(2017)-tasting-notes-review,whiskynotes.be,review_site,85,95,strict_match,,import_to_staging,true
W001447,gooderham & worts 17yo little trinity three grain (2017),Gooderham & Worts,17.0,gooderham & worts 17yo little trinity three grain (2017) tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/gooderham-&-worts-17yo-little-trinity-three-grain-(2017)-tasting-notes-review,whiskynotes.be,review_site,85,95,strict_match,,import_to_staging,true
W001173,bruichladdich port charlotte islay barley heavily peated,,,bruichladdich port charlotte islay barley heavily peated tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/bruichladdich-port-charlotte-islay-barley-heavily-peated-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W000491,glenfiddich winter storm 21yo experimental series no. 3,Glenfiddich,21.0,glenfiddich winter storm 21yo experimental series no. 3 tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/glenfiddich-winter-storm-21yo-experimental-series-no.-3-tasting-notes-review,whiskynotes.be,review_site,85,105,strict_match,,import_to_staging,true
W000674,game of thrones house tully singleton glendullan select,,,game of thrones house tully singleton glendullan select tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/game-of-thrones-house-tully-singleton-glendullan-select-tasting-notes-review,whiskynotes.be,review_site,85,90,strict_match,,import_to_staging,true
W001418,pike creek 21yo finished in oloroso sherry casks (2019),,21.0,pike creek 21yo finished in oloroso sherry casks (2019) tasting notes review,whiskynotes.be,https://www.whiskynotes.be/search/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,whiskynotes.be,review_site,85,95,strict_match,,import_to_staging,true
