id,slug,lang,name,description,url,pdf,published_at,authors,type,country,region,distillery,bottler,age,abv,price_per_liter,flavour,rating_marcel,rating_sascha,rating_value_for_money
611,st-kilian-signature-edition-seventeen,en,St. Kilian Signature Edition Seventeen,"Rum meets smoke – sounds like a Caribbean bonfire, but it's actually the latest creation from Rüdenau. For the Signature Edition Seventeen, St. Kilian matured their spirit in Jamaican, Mexican, and Barbadian rum casks as well as rhum agricole casks, letting the peat smoke tag along for the ride. The result? A single malt that acts like it just returned from a beach holiday – sunglasses on, incense stick in the luggage.",/whisky-reviews/st-kilian-signature-edition-seventeen,/exports/pdf/st-kilian-signature-edition-seventeen.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,54.6,99.8,peaty,86,86,4
610,st-kilian-exceptional-range-ex-mugi-shochu-mild,en,St. Kilian Exceptional Range ex Mugi Shochu – Mild,"With the Exceptional Range ex Mugi Shochu, St. Kilian ventures into uncharted territory: a single malt matured in an American white oak cask that previously held Japanese mugi shochu – likely one of the first bottlings of its kind outside Japan. The result is a delicate, perfumed-floral whisky that marries Far Eastern elegance with Franconian craftsmanship.",/whisky-reviews/st-kilian-exceptional-range-ex-mugi-shochu-mild,/exports/pdf/st-kilian-exceptional-range-ex-mugi-shochu-mild.pdf,2026-04-11T12:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,6,55.5,398,delicate,84,84,0
561,aberfeldy-25-year-old-2023,en,Aberfeldy 25 Year Old (2023) 125th Anniversary,"To celebrate the distillery's 125th anniversary in the heart of the Highlands, Aberfeldy has released a limited special edition. This 25-year-old single malt matured for over two decades in refill hogsheads and refill butts before receiving a finish of over a year in first-fill Oloroso sherry casks. Bottled without chill-filtration and without added colour at 46% – a worthy anniversary tribute.",/whisky-reviews/aberfeldy-25-year-old-2023,/exports/pdf/aberfeldy-25-year-old-2023.pdf,2026-04-10T18:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Highlands,Aberfeldy,,25,46,652.84,rich,87,86,3
151,st-kilian-rich-smoky,en,St. Kilian Rich & Smoky (2022),"The St. Kilian distillery from Franconia delivers the smoky counterpart to the Mild & Fruity with the Classic Rich & Smoky. Matured in a combination of 70% ex-bourbon and 30% PX and oloroso sherry casks, this single malt promises the marriage of sweet fruit and elegant smoke – and delivers on that promise convincingly.",/whisky-reviews/st-kilian-rich-smoky,/exports/pdf/st-kilian-rich-smoky.pdf,2026-04-09T06:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,46,57.14,peaty,76,76,5
139,st-kilian-mild-fruity,en,St. Kilian Mild & Fruity (2022),"The St. Kilian distillery from Franconia has quickly established itself as a mainstay in the German whisky landscape. The Classic Mild & Fruity is part of their core range and serves as many people's first introduction to the distillery – a light, approachable single malt that showcases what Franconian whisky has to offer.",/whisky-reviews/st-kilian-mild-fruity,/exports/pdf/st-kilian-mild-fruity.pdf,2026-04-08T06:00:00+00:00,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,St. Kilian,,0,46,44,mellow,72,72,5
608,invergordon-35-years-1987-2023-murray-mcdavid,en,Invergordon 35 Years (1987/2023) - Murray McDavid,Yet another 1987 vintage on the blog – Marcel's vintage seems to attract such bottles like magic. This Invergordon 35 Years from the Mission Gold series by Murray McDavid relies on a PX finish and presents itself as a Single Grain from the Highlands with a clear cask signature. The result is a mellow dram in which mature grain and aged sweetness are not allowed on stage alone.,/whisky-reviews/invergordon-35-years-1987-2023-murray-mcdavid,/exports/pdf/invergordon-35-years-1987-2023-murray-mcdavid.pdf,2026-04-07T17:48:07.996Z,"[""Marcel"", ""Sascha""]",Single Grain,Scotland,Highlands,Invergordon,Murray McDavid,35,48.1,231.27,mellow,79,77,3
607,benromach-11-years-2010-2022-contrasts-peat-smoke,en,Benromach 11 Years (2010/2022) Contrasts Peat Smoke,"The Benromach 11 Years (2010/2022) Contrasts Peat Smoke is an experimental single malt from Speyside, in which Benromach audibly turns up the use of peated barley. It was matured exclusively in first-fill bourbon casks; added to that are 57 ppm and a vintage design that refers to the once hand-painted sign above the kiln as well as the distillery's red gates. Sounds like a grand performance, but in the glass it would rather charmingly trip over its own shoelaces.",/whisky-reviews/benromach-11-years-2010-2022-contrasts-peat-smoke,/exports/pdf/benromach-11-years-2010-2022-contrasts-peat-smoke.pdf,2026-03-29T16:27:54.005Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,11,46,57.13,peaty,73,78,4
606,benromach-12-years-2012-2024-contrasts-high-enzyme,en,Benromach 12 Years (2012/2024) Contrasts High Enzyme,"Benromach 12 Years (2012/2024) Contrasts High Enzyme is a single malt from Speyside, made with enzyme-rich, unpeated barley. This raw material choice, otherwise more common for grain whisky, noticeably shapes the fermentation process and leads here to an independent, distinctive profile. In the glass, it shows a rather mild character, but one clearly focused on freshness, malt, and edgier accents.",/whisky-reviews/benromach-12-years-2012-2024-contrasts-high-enzyme,/exports/pdf/benromach-12-years-2012-2024-contrasts-high-enzyme.pdf,2026-03-28T16:11:18.593Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,12,46,57.13,mellow,75,76,4
605,benromach-9-years-2014-2024-contrasts-unpeated,en,Benromach 9 Years (2014/2024) Contrasts unpeated,"Benromach is primarily known for reviving a lightly peated Speyside style, but the Contrasts Unpeated deliberately shows the other side of the distillery. This nine-year-old single malt from Bourbon and Sherry casks comes in at 46 % vol. and clearly focuses on an unpeated, approachable aromatic profile.",/whisky-reviews/benromach-9-years-2014-2024-contrasts-unpeated,/exports/pdf/benromach-9-years-2014-2024-contrasts-unpeated.pdf,2026-03-27T19:00:54.972Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Benromach,,9,46,57.13,delicate,80,82,5
604,kavalan-triple-sherry-cask-2021,en,Kavalan Triple Sherry Cask (2021),"Kavalan Triple Sherry Cask (2021) positions itself as a link between the standard bottlings and the single cask bottlings of the Taiwanese distillery. Matured in Oloroso, Pedro Ximénez, and Moscatel sherry casks, this single malt clearly focuses on a rich, sherry-driven profile. The design also points to its origin: the silver lines under the cork represent the mountain ranges around the distillery, while the water filtered through volcanic rock used forms the background of this bottling.",/whisky-reviews/kavalan-triple-sherry-cask-2021,/exports/pdf/kavalan-triple-sherry-cask-2021.pdf,2026-03-21T14:00:33.857Z,"[""Marcel"", ""Sascha""]",Single Malt,Taiwan,,Kavalan,,0,40,100,rich,83,80,2
603,black-forest-8-years-2014-2022-vom-fass,en,Black Forest 8 Years (2014/2022) - vom Fass,"German single malt from Destillerie Kammer-Kirsch + Rothaus, triple distilled and matured for 8 years in American Oak, ex-Marsala, and ex-Madeira casks.",/whisky-reviews/black-forest-8-years-2014-2022-vom-fass,/exports/pdf/black-forest-8-years-2014-2022-vom-fass.pdf,2026-03-16T15:53:27.819Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Destillerie Kammer-Kirsch + Rothaus,vom Fass,8,41,104.45,rich,71,77,2
602,falken-5-years-2022,en,Falken 5 Years (2022),"Falken 5 Years (2022) is a German single malt from Farny Destillerie with 43% ABV, whose profile is strongly shaped by the idea of a “lager finish”: six months of alpine summering on the Falkenalpe are intended to bring topography and climate into the cask and ultimately into the glass. It matures for a total of five years in the distillery's casks and presents itself as a rather mild, unexcited representative with a regional mountain backdrop in tow – whether that is great alpine air or rather alpine marketing is something the glass may answer.",/whisky-reviews/falken-5-years-2022,/exports/pdf/falken-5-years-2022.pdf,2026-03-15T15:38:42.051Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Farny Destillerie,,5,43,69.86,mellow,65,70,3
601,elsburn-rivesaltes-casks-batch-no-001,en,Elsburn Rivesaltes Casks - Batch No. 001,"The Elsburn Rivesaltes Casks Batch No. 001 is a German single malt from Hercynian Distilling Co. that draws its character from a sweet wine context rooted in Rivesaltes in L’Occitanie. In the glass, it presents itself as rich, sweet-fruity, and surprisingly approachable – exactly the kind of bottling that simply works without much fuss.",/whisky-reviews/elsburn-rivesaltes-casks-batch-no-001,/exports/pdf/elsburn-rivesaltes-casks-batch-no-001.pdf,2026-03-09T11:53:53.636Z,"[""Marcel"", ""Sascha""]",Single Malt,Germany,,Hercynian Distilling Co.,,0,46,84.28,rich,80,80,3
600,tormore-10-years-blueprint-cream-sherry,en,Tormore 10 Years Blueprint Cream Sherry,"The Tormore 10 Years Blueprint Cream Sherry is the third candidate after the Toasted Barrel and the Bourbon Barrel – and we were correspondingly curious what the distillery would pull out of its sleeve this time. In the Speyside-typical “mellow” corner announced, however, there’s more of a dry edge here than a dessert glass.",/whisky-reviews/tormore-10-years-blueprint-cream-sherry,/exports/pdf/tormore-10-years-blueprint-cream-sherry.pdf,2026-03-08T10:46:55.952Z,"[""Marcel"", ""Sascha""]",Single Malt,Scotland,Speyside,Tormore,,10,48,85.7,mellow,75,73,3
