slug,name,type_category,country,region,description,tasting_notes,cask_type,url,source_api_endpoint,source_confidence
cask-investment,Cask Investment,Collecting & Investment,,,"Purchasing a full cask of maturing whiskey as an investment, with the intention of bottling or reselling after further aging. Legitimate cask investment requires verified warehouse storage, insurance, and transparent exit strategies.",,,,/glossary/,high
cask-number,Cask Number,Scotch Whisky,,,"A unique identifier assigned to each cask at the time of filling, used for traceability and single cask bottling. Single cask releases proudly display this number as proof of provenance and uniqueness.",,,,/glossary/,high
cask-strength,Cask Strength,Maturation & Casks,,,"Whiskey bottled directly from the cask without dilution, typically ranging from 50% to 65% ABV depending on aging conditions. Cask strength bottlings preserve the full intensity and complexity developed during maturation.",,,,/glossary/,high
charring,Charring,Maturation & Casks,,,"The process of setting the inside of a new oak barrel on fire for a controlled duration, creating a layer of charcoal that acts as a flavor filter and caramelizes wood sugars. Char levels range from #1 (light, 15 seconds) to #4 (alligator char, 55 seconds).",,,,/glossary/,high
chill-filtration,Chill Filtration,Legal & Classification,,,A process of cooling whiskey to near-freezing temperatures and passing it through fine filters to remove fatty acids and proteins that cause haziness when chilled or diluted. Non-chill-filtered whiskies retain more texture and flavor but may appear cloudy.,,,,/glossary/,high
closed-distillery,Closed Distillery,Collecting & Investment,,,"A distillery that has permanently ceased production, making its remaining whiskey increasingly rare and valuable over time. Famous closed distilleries include Port Ellen, Rosebank, and Brora, though some have been revived.",,,,/glossary/,high
column-still,Column Still,Distilling Basics,,,"A continuous distillation apparatus, also called a Coffey still or patent still, that processes wash in a continuous stream rather than batches. Column stills produce a lighter, higher-proof spirit and are standard for grain whiskey and bourbon production.",,,,/glossary/,high
condenser,Condenser,Production,,,"The apparatus that cools alcohol vapors back into liquid form after distillation. Shell-and-tube condensers produce a cleaner spirit, while traditional worm tub condensers preserve more copper contact and create a heavier, more characterful distillate.",,,,/glossary/,high
copper-contact,Copper Contact,Production,,,"The interaction between spirit vapors and copper surfaces in the still, which strips undesirable sulfur compounds from the distillate. Greater copper contact from taller stills or longer lyne arms generally produces a lighter, fruitier spirit.",,,,/glossary/,high
craft-revival,Craft Revival,Culture & History,,,"The modern movement of small, independent distilleries producing artisanal whiskey, emerging from the early 2000s. The craft revival has dramatically expanded the diversity of whiskey styles, ingredients, and production philosophies worldwide.",,,,/glossary/,high
craft-whiskey,Craft Whiskey,Legal & Classification,,,"A loosely defined term for whiskey produced by small, independent distilleries, typically emphasizing artisanal methods, local ingredients, and hands-on production. No legal definition exists in most countries, making the term open to interpretation.",,,,/glossary/,high
distillation,Distillation,Distilling Basics,,,The process of heating a fermented liquid to separate alcohol from water based on differing boiling points. Whiskey is typically distilled two or three times in copper pot stills or column stills to concentrate alcohol and flavor compounds.,,,,/glossary/,high
dram,Dram,Tasting & Nosing,,,"A traditional Scottish term for a measure of whisky, used colloquially to mean any glass or pour. Historically a dram was one-eighth of a fluid ounce, but today it simply means a sociable serving of whisky.",,,,/glossary/,high
e150a,E150a,Legal & Classification,,,"Spirit caramel, a food coloring additive permitted in Scotch whisky and many other whiskies to ensure batch-to-batch color consistency. While legal in most countries, its use is controversial and must not affect flavor. Some distillers proudly state 'no color added.'",,,,/glossary/,high
feints,Feints,Distilling Basics,,,"The final fraction of a distillation run, also called tails, containing heavier alcohols and oily compounds. Feints are typically recycled into the next distillation batch rather than discarded.",,,,/glossary/,high
fermentation,Fermentation,Distilling Basics,,,"The biological process where yeast converts sugars in the wort into alcohol and carbon dioxide, typically lasting 48 to 96 hours in large wooden or steel washbacks. The resulting liquid, called wash, reaches roughly 7-10% ABV.",,,,/glossary/,high
fill-level,Fill Level,Collecting & Investment,,,"The amount of liquid remaining in a sealed whiskey bottle, which can decrease over decades through evaporation via the cork. Base of neck, upper shoulder, and mid shoulder are standard descriptors, with lower levels reducing value.",,,,/glossary/,high
finish,Finish,Tasting & Nosing,,,"The lingering taste and sensation after swallowing whiskey, measured both in duration (short, medium, long) and character (dry, sweet, warming, spicy). A long, complex finish is generally considered a mark of quality.",,,,/glossary/,high
first-fill,First Fill,Maturation & Casks,,,"A cask being used for the first time to mature whiskey after its initial purpose (such as holding bourbon or sherry). First fill casks impart the strongest wood influence, contributing intense flavors of vanilla, fruit, or spice.",,,,/glossary/,high
floor-malting,Floor Malting,Production,,,"The traditional method of malting barley by spreading it on a stone floor and manually turning it with shovels during germination. Only a handful of distilleries still practice floor malting, including Laphroaig and Balvenie.",,,,/glossary/,high
foreshots,Foreshots,Distilling Basics,,,"The first fraction of distillate collected during a spirit run, containing volatile compounds like methanol and acetone that are toxic and undesirable. Foreshots are always discarded by the stillman.",,,,/glossary/,high
geographic-indication,Geographic Indication,Legal & Classification,,,"A legal designation that protects the name of a product originating from a specific region. Scotch whisky, Irish whiskey, bourbon, and Japanese whisky all carry geographic indications that govern where and how they may be produced.",,,,/glossary/,high
grain-whiskey-irish,Grain Whiskey (Irish),Irish & Japanese,,,"Irish whiskey produced in a column still from a mash of corn or wheat with a small percentage of malted barley. Lighter and sweeter than pot still whiskey, Irish grain whiskey forms the backbone of blended Irish whiskey.",,,,/glossary/,high
hearts,Hearts,Distilling Basics,,,"The middle fraction of a distillation run, selected by the stillman for its optimal balance of flavor, purity, and alcohol content. Only the hearts — also called the middle cut — are collected for maturation into whiskey.",,,,/glossary/,high
highball,Highball,Irish & Japanese,,,"A simple cocktail of whisky and soda water served over ice, traditionally in a tall glass. The highball is a cultural institution in Japan, where meticulous preparation and precise ice-to-whisky ratios elevate the format to an art form.",,,,/glossary/,high
highland,Highland,Scotch Whisky,,,"The largest Scotch whisky region by geography, spanning from the central lowlands to the northern coast. Highland malts vary enormously in style, from light and floral to rich, full-bodied, and maritime.",,,,/glossary/,high
independent-bottler,Independent Bottler,Scotch Whisky,,,"A company that purchases casks of whisky from distilleries and bottles them under its own label, often as single cask releases. Notable independent bottlers include Gordon & MacPhail, Signatory, and Cadenhead's.",,,,/glossary/,high
islay,Islay,Scotch Whisky,,,"A Scottish island off the west coast known for intensely peated, smoky whiskies. The island's nine distilleries, including Laphroaig, Ardbeg, and Lagavulin, produce some of the world's most distinctive and polarizing single malts.",,,,/glossary/,high
japanese-whisky-standards,Japanese Whisky Standards,Irish & Japanese,,,"Voluntary standards introduced in 2021 by the Japan Spirits & Liqueurs Makers Association requiring Japanese whisky to be fermented, distilled, and aged in Japan for at least three years. Prior to these standards, labeling was largely unregulated.",,,,/glossary/,high
legs,Legs,Tasting & Nosing,,,"The streaks of liquid that form on the inside of a whiskey glass after swirling, also called tears or curtains. While often attributed to quality, legs actually indicate alcohol content and viscosity rather than overall excellence.",,,,/glossary/,high
limited-edition,Limited Edition,Collecting & Investment,,,"A whiskey release produced in restricted quantities, often from a single cask or small batch, and typically not repeated. Limited editions command premium prices and are sought after by collectors for their scarcity and unique character.",,,,/glossary/,high
lyne-arm,Lyne Arm,Production,,,"The pipe connecting the head of a pot still to the condenser, also called the lye pipe. The angle of the lyne arm affects reflux: an upward angle promotes lighter spirits by forcing heavier vapors back down, while a downward angle creates richer distillate.",,,,/glossary/,high
malting,Malting,Production,,,"The process of soaking barley in water, allowing it to germinate, then drying it in a kiln to halt growth. Malting activates enzymes that convert starch to sugar during mashing, and the kiln fuel determines whether the malt is peated or unpeated.",,,,/glossary/,high
mash-bill,Mash Bill,American Whiskey,,,"The recipe of grains used to produce a whiskey, expressed as a percentage of each grain type. Bourbon mash bills typically combine corn, rye or wheat, and malted barley. The mash bill is the primary driver of a whiskey's flavor profile.",,,,/glossary/,high
mashing,Mashing,Distilling Basics,,,"The process of mixing milled grain with hot water in a mash tun to convert starches into fermentable sugars. Temperature rests activate enzymes that break down the grain, producing a sweet liquid called wort.",,,,/glossary/,high
master-blender,Master Blender,Culture & History,,,"The head of quality and blending at a whiskey company, responsible for maintaining consistency across releases and creating new expressions. Master blenders train their palates over decades and are considered among the industry's most important figures.",,,,/glossary/,high
milling,Milling,Production,,,"Crushing malted barley through a roller mill to produce grist, a mix of flour, grits, and husks. The grist ratio is critical: too fine and the mash tun clogs, too coarse and sugar extraction is inefficient.",,,,/glossary/,high
