slug,name,type_category,country,region,description,tasting_notes,cask_type,url,source_api_endpoint,source_confidence
caol-ila,Caol Ila,,Scotland,Islay,"Caol Ila is the largest distillery on Islay by production capacity, yet much of its output traditionally goes into blends. Its single malt releases are prized for a lighter, more citrusy peat style with distinctive oily texture and a view across the Sound of Islay to Jura.",,,,/distilleries/,high
cardhu,Cardhu,,Scotland,Speyside,"Cardhu holds a special place in whisky history as a distillery pioneered by Helen Cumming and her daughter-in-law Elizabeth, among the first women to run a Scottish distillery. It is the spiritual home of Johnnie Walker, providing the key malt component for the world's best-selling blended Scotch.",,,,/distilleries/,high
castle-and-key,Castle & Key,,United States,Kentucky,"Castle & Key occupies the beautifully restored Old Taylor distillery in Millville, Kentucky, a National Historic Landmark. The distillery focuses on small-batch bourbon and rye using heritage grain varieties and natural spring water. Its sunken gardens and castle-like architecture make it one of the most photogenic distilleries in America.",,,,/distilleries/,high
chichibu,Chichibu,,Japan,Honshu,"Chichibu is a small craft distillery founded by Ichiro Akuto in Saitama Prefecture. Despite its tiny output, Chichibu has become one of the most sought-after whiskies in the world, with releases selling at auction for thousands of dollars. The distillery uses Japanese mizunara casks and floor maltings.",,,,/distilleries/,high
clynelish,Clynelish,,Scotland,Highland,"Clynelish distillery in Brora produces a distinctively waxy, maritime single malt prized by independent bottlers and blenders alike. Built to replace the original Brora distillery, Clynelish's oily, coastal character with tropical fruit and beeswax notes has earned it a cult following.",,,,/distilleries/,high
cragganmore,Cragganmore,,Scotland,Speyside,"Cragganmore is regarded by many as the most complex of the Speyside malts, with a unique flat-topped still design that creates a distinctively herbaceous, floral, and multi-layered spirit. Selected by Diageo for the Classic Malts series as the Speyside representative, it remains a connoisseur's favorite.",,,,/distilleries/,high
craigellachie,Craigellachie,,Scotland,Speyside,"Craigellachie is one of only a handful of Scottish distilleries still using worm tubs instead of modern condensers, which gives its spirit a distinctive meaty, sulfury, and robust character. Long a blending workhorse, it has gained a cult single malt following for its unapologetically bold Speyside style.",,,,/distilleries/,high
crown-royal,Crown Royal,,Canada,,"Crown Royal was created in 1939 to commemorate the visit of King George VI and Queen Elizabeth to Canada. Produced at the Gimli distillery in Manitoba on the shores of Lake Winnipeg, Crown Royal blends over 50 distinct whiskies to achieve its signature smooth, slightly sweet character in a distinctive purple bag.",,,,/distilleries/,high
dalwhinnie,Dalwhinnie,,Scotland,Highland,"Dalwhinnie is the highest distillery in Scotland at 326 meters above sea level, situated at the gateway to the Highlands. Its extreme location creates a slow, gentle maturation that produces a delicate, honeyed malt. Selected as the Highland representative in Diageo's Classic Malts of Scotland.",,,,/distilleries/,high
deanston,Deanston,,Scotland,Highland,"Deanston occupies a converted cotton mill on the River Teith in Perthshire, using its own hydroelectric turbine to power production — making it one of the most eco-friendly distilleries in Scotland. Its unchillfiltered, unpeated Highland malt offers a honeyed, malty character with a creamy texture.",,,,/distilleries/,high
dingle,Dingle,,Ireland,Munster,"Dingle Distillery on the Wild Atlantic Way in County Kerry was one of the first wave of Ireland's craft distillery movement. Its small copper pot stills produce single malt and pot still whiskey in limited batches, with each release numbered and highly sought after by collectors.",,,,/distilleries/,high
edradour,Edradour,,Scotland,Highland,"Edradour is one of the smallest traditional distilleries in Scotland, producing by hand what larger distilleries make in a week. Located in the picturesque village of Pitlochry, it was acquired by independent bottler Signatory Vintage and has gained acclaim for its sherried and wine-cask-finished releases.",,,,/distilleries/,high
eigashima,Eigashima (White Oak),,Japan,Honshu,"Eigashima Shuzo in Akashi, Hyogo Prefecture holds Japan's first whisky license, granted in 1919 — four years before Yamazaki. The distillery primarily produces sake and shochu, with whisky made only a few months per year. Its Akashi single malt and blends are valued for their coastal, approachable character.",,,,/distilleries/,high
four-roses,Four Roses,,United States,Kentucky,Four Roses is unique among Kentucky distillers in using 10 distinct bourbon recipes — two mashbills combined with five proprietary yeast strains. This approach allows exceptional blending complexity. The distillery's Spanish Mission-style architecture in Lawrenceburg is a Kentucky landmark.,,,,/distilleries/,high
george-dickel,George Dickel,,United States,Tennessee,"George Dickel is Tennessee's other major whiskey producer, using a chilled charcoal mellowing process that founder George A. Dickel believed produced a smoother spirit. The distillery in Tullahoma spells its product 'whisky' without the 'e' as a nod to the Scottish tradition.",,,,/distilleries/,high
glenallachie,GlenAllachie,,Scotland,Speyside,"GlenAllachie was acquired in 2017 by former BenRiach master distiller Billy Walker, who transformed it from a blending workhorse into a celebrated single malt producer. The distillery holds one of the largest cask inventories in Speyside, with an emphasis on sherry-cask maturation and cask-strength releases.",,,,/distilleries/,high
glendronach,GlenDronach,,Scotland,Speyside,"GlenDronach is celebrated for its dedication to sherry-cask maturation, using both Oloroso and Pedro Ximenez casks from Jerez. Restarted in 2002 after a silent period, the distillery has built a devoted following for its richly sherried, traditional Highland-Speyside character.",,,,/distilleries/,high
glenfarclas,Glenfarclas,,Scotland,Speyside,"Glenfarclas has been owned by six generations of the Grant family, making it one of the few truly independent Speyside distilleries. Known for its direct-fired stills and exclusive use of sherry casks, Glenfarclas produces rich, full-bodied malts with its legendary Family Casks series spanning vintages from the 1950s onward.",,,,/distilleries/,high
glenfiddich,Glenfiddich,,Scotland,Speyside,"Glenfiddich is the world's best-selling single malt Scotch whisky, pioneering the category's global growth since the 1960s. The family-owned distillery in Dufftown remains one of the few Scottish distilleries with its own on-site cooperage and coppersmith.",,,,/distilleries/,high
glengoyne,Glengoyne,,Scotland,Highland,"Glengoyne sits on the Highland Line boundary, distilling in the Highlands but maturing its whisky across the road in the Lowlands. It is notable for using completely unpeated barley dried with warm air only, and exclusively sherry casks for maturation, producing an exceptionally clean, rich, and fruity malt.",,,,/distilleries/,high
glen-grant,Glen Grant,,Scotland,Speyside,"Glen Grant is one of the best-selling single malts in the world, particularly dominant in the Italian market. Founded by brothers John and James Grant in Rothes, the distillery is known for its tall, slender stills with purifiers that produce a light, crisp, and apple-forward spirit.",,,,/distilleries/,high
glenkinchie,Glenkinchie,,Scotland,Lowland,"Glenkinchie is known as 'The Edinburgh Malt,' situated just 15 miles from the Scottish capital in the rolling farmland of East Lothian. Selected as the Lowland representative in Diageo's Classic Malts, it produces a light, grassy, and floral spirit with one of the largest wash stills in Scotland.",,,,/distilleries/,high
glenmorangie,Glenmorangie,,Scotland,Highland,"Glenmorangie operates the tallest pot stills in Scotland, standing over 5 meters high, which produce an exceptionally light and elegant spirit. The distillery pioneered wood-finishing in the whisky industry and its core range includes finishes in Sauternes, sherry, and Burgundy casks.",,,,/distilleries/,high
glen-scotia,Glen Scotia,,Scotland,Campbeltown,"Glen Scotia is one of only three remaining distilleries in Campbeltown, once Scotland's whisky capital with over 30 distilleries. Revived under the Loch Lomond Group, Glen Scotia produces a maritime, briny style with gentle peat smoke that captures the essence of the Campbeltown region.",,,,/distilleries/,high
hakushu,Hakushu,,Japan,Honshu,"Hakushu distillery sits in a forest at 700 meters elevation in the Japanese Southern Alps, producing a distinctively fresh, herbal, and lightly smoky style. The high-altitude forest setting provides crisp mountain water and cool temperatures ideal for delicate spirit production.",,,,/distilleries/,high
heaven-hill,Heaven Hill,,United States,Kentucky,"Heaven Hill is the largest independent, family-owned distillery in the United States, producing brands including Elijah Craig, Evan Williams, Larceny, and Henry McKenna. The Shapira family has owned the company since its founding, making it one of Kentucky's most significant bourbon producers.",,,,/distilleries/,high
hellyers-road,Hellyers Road,,Australia,Tasmania,"Hellyers Road in Burnie is Tasmania's largest whisky distillery, owned by a local dairy co-operative. The distillery produces both peated and unpeated single malts using Tasmanian barley and pure water from the region's ancient rainforests. Its output has grown from craft-scale to one of Australia's most widely available single malts.",,,,/distilleries/,high
highland-park,Highland Park,,Scotland,Islands,"Highland Park is the northernmost Scotch whisky distillery, located in Kirkwall, Orkney. The distillery hand-turns its own locally cut Orkney peat on traditional floor maltings, creating a heather-honey sweetness layered with gentle smoke that defines the Highland Park style.",,,,/distilleries/,high
hudson,Hudson,,United States,New York,"Hudson Whiskey from Tuthilltown Spirits in the Hudson Valley was one of the first craft whiskeys to challenge the Kentucky establishment. Its Baby Bourbon — aged in small barrels for accelerated maturation — helped launch the American craft distilling revolution. The distillery now produces a full range of bourbon, rye, and single malt.",,,,/distilleries/,high
jack-daniels,Jack Daniel's,,United States,Tennessee,"Jack Daniel's is the world's best-selling American whiskey, produced in Lynchburg, Tennessee since 1866. Every drop is charcoal-mellowed through 10 feet of sugar maple charcoal before aging, a process that gives Tennessee whiskey its distinctive smooth character.",,,,/distilleries/,high
jim-beam,Jim Beam,,United States,Kentucky,"Jim Beam is the world's best-selling bourbon brand, produced by the Beam family for seven generations in Clermont, Kentucky. The distillery uses a proprietary yeast strain that has been maintained since before Prohibition, contributing to its signature smooth, caramel-forward character.",,,,/distilleries/,high
jura,Jura,,Scotland,Islands,"The Isle of Jura distillery is the only distillery on the remote island, which has fewer than 200 residents but over 6,000 red deer. Rebuilt in 1963 to bring employment to the island, Jura produces both unpeated and lightly peated expressions with a distinctive oily, coastal character.",,,,/distilleries/,high
