source_name,source_file,candidate_type,candidate_name,related_whisky_id,related_entity_name,issue_type,reason,suggested_action,approval_status
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Clynliesh,W000476,game of thrones house tyrell clynelish reserve,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Cragganmore,W000409,cragganmore 12yo (special release 2019),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Cragganmore,W000409,cragganmore 12yo (special release 2019),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Dalmore,W000274,dalmore port wood reserve,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Dalmore,W000274,dalmore port wood reserve,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Dalmore Cigar Malt,W000337,dalmore cigar malt,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Dalwhinnie,W000297,dalwhinnie distillers edition,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Glencadam,W000242,glencadam 14yo oloroso sherry cask finish,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Glendullan,W000565,singleton of glendullan 15yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Glenfarclas,W000029,glenfarclas 40yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Glenfarclas,W000029,glenfarclas 40yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Glenfiddich,W000013,glenfiddich 15yo solera,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Highland Park,W000032,highland park 25yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Highland Park,W000032,highland park 25yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Jura,W000222,jura brooklyn,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Jonnie Walker,W001254,johnnie walker 15yo green label,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Kilochman,W000087,kilchoman port cask matured,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Macallan Gold,W000863,macallan gold,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Macallan,W000007,macallan 12yo double cask,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,MacPhail,W000034,tamdhu 30yo (macphail collection 2009),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Mortlach,W000216,mortlach 16yo (f&f),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Mortlach,W000216,mortlach 16yo (f&f),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Mortlach,W000216,mortlach 16yo (f&f),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Mortlach,W000216,mortlach 16yo (f&f),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Oban,W000229,oban distillers edition (all vintages),Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Old Pulteney,W000431,old pulteney 25yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Old Pulteney,W000431,old pulteney 25yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Royal Brackla,W000170,royal brackla 21yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Royal Brackla,W000170,royal brackla 21yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Royal Lochnagar,W000374,game of thrones house baratheon royal lochnagar 12 ans,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Scapa,W000617,scapa 16yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Sheep Dip,W000064,sheep dip old hebridean 1990 blended malt,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Singleton,W000321,singleton of glen ord 18yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Singleton,W000321,singleton of glen ord 18yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Springbank,W000076,springbank 21yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
The Malt List,07_reconciled_manual_review_price_candidates.csv,Historical Price Match,Springbank,W000076,springbank 21yo,Ambiguous Price Match,Risk Level: HIGH,MERGE_OR_DISCARD,pending_review
